127.0.0.1 - - [11/Mar/2024:09:55:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:28 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteFrom.jsp?id=A002 HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:45 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:47 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:47 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:48 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:48 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:50 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A004 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:50 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:50 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A005 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:50 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:53 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:53 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:14 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:14 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:16 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A003 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:19 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:20 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:21 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A003 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:20:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:50:56 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:50:56 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:51:00 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:51:01 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:51:02 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:51:02 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:51:04 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:51:04 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:54:32 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:54:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:55:34 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:57:01 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:57:05 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:57:23 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:57:35 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:58:39 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:58:43 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?id=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:58:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:01:16 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:01:21 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:01:22 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:01:23 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:08:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A001 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:08:51 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:09:41 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:11:10 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A002 HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:11:16 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:12:22 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:12:23 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A001 HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:21:39 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:21:41 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A001 HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:27:55 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A001 HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:12 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:13 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:21 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:26 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:30 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:21 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:29 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:31 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:30:25 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:30:28 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:30:29 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:30:32 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:33:59 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A002 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:34:24 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A002 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:34:28 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:34:33 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:34:35 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A003 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:35:46 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:36:18 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:41:43 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:41:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:41:54 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:41:55 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/main.jsp HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:30 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:31 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:33 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:34 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:36 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A002 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:40 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:42:41 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:43:17 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:43:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:43:19 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:43:26 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:43:27 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:15 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:17 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:33 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:34 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:36 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:50 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:45:33 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:45:33 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:47:08 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:48:50 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 2348
